doc_index	true_label	exp_label	doc_text
790	0	0	  See, there you go again, saying that a moral act is only significant if it is "voluntary."  Why do you think this?  And anyway, humans have the ability to disregard some of their instincts.   You are attaching too many things to the term "moral," I think. Let's try this:  is it "good" that animals of the same species don't kill each other.  Or, do you think this is right?   Or do you think that animals are machines, and that nothing they do is either right nor wrong?    Those weren't arbitrary killings.  They were slayings related to some sort of mating ritual or whatnot.   Yes it was, but I still don't understand your distinctions.  What do you mean by "consider?"  Can a small child be moral?  How about a gorilla?  A dolphin?  A platypus?  Where is the line drawn?  Does the being need to be self aware?  What *do* you call the mechanism which seems to prevent animals of the same species from (arbitrarily) killing each other?  Don't you find the fact that they don't at all significant?
124	0	0	 Stuff deleted    Hmmmmmmmmmmmm.............................................          I can put the same question to followers of any religion. How do you Moslems resolve differences of opinion ?? Don't tell me that there is one interpretation of the Quran. Read the soc.culture.* newsgroups. You will zillions of different interpretations.  -- Naren naren@TEKIG1.PEN.TEK.COM 
60	0	0	YOU BLASHEPHEMERS!!! YOU WILL ALL GO TO HELL FOR NOT BELIEVING IN GOD!!!!  BE PREPARED FOR YOUR ETERNAL DAMNATION!!! 
225	0	0	    The argument goes as follows: Q-oid quotes appear in John, but not in the almost codified way they were in Matthew or Luke. However, they are considered to be similar enough to point to knowledge of Q as such, and not an entirely different source.       We are talking date of texts here, not the age of the authors. The usual explanation for the time order of Mark, Matthew and Luke does not consider their respective ages. It says Matthew has read the text of Mark, and Luke that of Matthew (and probably that of Mark).   As it is assumed that John knew the content of Luke's text. The evidence for that is not overwhelming, admittedly.       When they are from about 200, why do they shed doubt on the order on putting John after the rest of the three?       Sure, an original together with Id card of sender and receiver would be fine. So what's that supposed to say? Am I missing something?       That John was a disciple is not generally accepted. The style and language together with the theology are usually used as counterargument.   The argument that John was a disciple relies on the claim in the gospel of John itself. Is there any other evidence for it?   One step and one generation removed is bad even in our times. Compare that to reports of similar events in our century in almost illiterate societies. Not even to speak off that believers are not necessarily the best sources.     In other words, one does not know what the original of Mark did look like and arguments based on Mark are pretty weak.
182	0	0	Thanks to whoever posted this wonderful parody of people who post without  reading the FAQ!  I was laughing for a good 5 minutes.  Were there any  parts of the FAQ that weren't mentioned?  I think there might have been one or two...  Please don't tell me this wasn't a joke.  I'm not ready to hear that yet...
296	0	0	: You know, it just occurred to me today that this whole Christian thing : can be blamed solely on Mary. :  : So, she's married to Joseph.  She gets knocked up.  What do you think : ol' Joe will do if he finds she's been getting around?  So Mary comes up : with this ridiculous story about God making her pregnant.   :     Nice attempt Chris . . . verrry close.    You missed the conspiracy by 1 step. Joseph knew who knocked her up. He couldn't let it be known that somebody ELSE got ol' Mary prego. That wouldn't do well for his popularity in the local circles. So what  happened is that she was feeling guilty, he was feeling embarrassed, and THEY decided to improve both of their images on what could have otherwise been the downfall for both. Clever indeed. Come to think of it . . . I have gained a new respect for the couple. Maybe Joseph and Mary should receive all of the praise being paid to jesus.
749	0	0	 : >We could start with those posters who annoy us the most, like Bobby or : >Bill.  : Your wish is my command.  : Bill "Shit-stirrer" Connor : Bobby "Circular" Mozumder  I'm not sure my new nom d'net is exactly appropriate, but it comes very close. Considering what I have to wade through before I make one of my insightful, dead-on-the-money repsonses, I have to agree that something's getting stirred up. I would like to believe my characterization of what I respond to would be kinder though, but if you insist ...  I am also surprised to find that I have offended anyone, but in some cases it's unavoidable if I am to say anything at all. For those to whom fairness is important, check out my contributions, haven't I been most generous and patient, a veritable paragon of gentility?  Oh, BTW, I don't mind being paired with Bobby; I admire his tenacity. How many of you would do as well in this hostile environment - you think -I'm- offensive ?! read your own posts ...  Love and kisses,  Bill  P.S.
430	0	0	Is it just me, or has this part gotten beyond useful?  Gregg is not, as I understand his posts, giving any support to the bounty on Rushdie's life.  If that's correct, end of one point...  Gregg is using the concept of legal in a way most Westerners don't accept. His comments about Islamic Law I think make a great deal of sense to him, and are even making a _little_ sense to me now - if a person is a member of a group (religion or whatever) they bind themselves to follow the ways of the group within the bounds of what the group requires as a minimum. The big bone of contention here that I'm picking up is that in the West we have secular governments that maintain, more or less, a level of control and of requirements outside the requirements of optional groups.  I think the majority of us reading this thread are in tune (note - I didn't say "in agreement") with the idea that you are finally responsible to the secular government,  and within that to the group or groups a person may have chosen.  With that in mind, it not possible under secular law ("legally" as most people would define the term) to hold a person to a particular group once they decide to separate from it.  Only if the secular authorities agree that there is a requirement of some sort (contractual, etc) is there any secular _enforcement_ allowed by a group to a group member or past group member.  A religion can, and often does, believe in and require additional duties of a group member.  And it can enforce the fulfillment of those duties in many ways - ostracism is common for example.  But the limit comes when the enforcement would impose unwanted and/or unaccepted onus on a person _in conflict with secular law_.  This is the difference.  In a theocracy, the requirements of the secular authorities are, by definition, congruent with the religious authorities. Outside a theocracy, this is not _necessarily_ true.  Religious requirements _may_ coincide or may not.  Similiarly, religious consequences _may_ or may not coincide with secular consequences (if any).  Regards,  Dew
245	0	0	 Well, I could use the argument that some here use about "nature" and claim that you cannot have superhuman powers because you are a human; superhuman powers are beyond what a human has, and since you are a human, any powers you have are not beyond those of a human.  Hence, you cannot have superhuman powers.  Sound good to you?  Anyway, to the evidence question: it depends on the context.  In this group, since you are posting from a american college site, I'm willing to take it as given that you have a pair of blue jeans.  And, assuming there is some coherency in your position, I will take it as a given that you do not have superhuman powers.  Arguments are evidence in themselves, in some respects.   Yep.   Good.   "Extra" evidence?  Why don't we start with evidence at all?  I cannot see any evidence for the V. B. which the cynics in this group would ever accept.  As for the second, it is the foundation of the religion. Anyone who claims to have seen the risen Jesus (back in the 40 day period) is a believer, and therefore is discounted by those in this group; since these are all ancients anyway, one again to choose to dismiss the whole thing.  The third is as much a metaphysical relationship as anything else-- even those who agree to it have argued at length over what it *means*, so again I don't see how evidence is possible.  I thus interpret the "extraordinary claims" claim as a statement that the speaker will not accept *any* evidence on the matter.
754	0	0	 Of course B.M. is not incorrect.  He is defending Islam.  When defending Islam against infidels you can say anything and no one will dare criticize you.  But when an atheist uses the same argument he is using "petty sarcasm".  So B.M. can have his "temporary atheists" whenever he needs them and all the "temporary atheists" can later say that they were always good Muslims because they never explicitly rejected Islam.  
