COST	MEAN
50.000	0.625
51.000	0.570
52.000	0.578
53.000	0.599
54.000	0.587
55.000	0.587
56.000	0.596
57.000	0.575
58.000	0.571
59.000	0.565
60.000	0.587
61.000	0.584
62.000	0.583
63.000	0.584
64.000	0.587
65.000	0.580
66.000	0.571
67.000	0.577
68.000	0.574
69.000	0.566
70.000	0.555
71.000	0.555
72.000	0.547
73.000	0.545
74.000	0.537
75.000	0.533
76.000	0.543
77.000	0.545
78.000	0.540
79.000	0.538
80.000	0.540
81.000	0.543
82.000	0.543
83.000	0.541
84.000	0.542
85.000	0.539
86.000	0.534
87.000	0.526
88.000	0.533
89.000	0.533
90.000	0.535
91.000	0.534
92.000	0.537
93.000	0.533
94.000	0.533
95.000	0.534
96.000	0.532
97.000	0.537
98.000	0.535
99.000	0.530
100.000	0.530
101.000	0.532
102.000	0.533
103.000	0.533
104.000	0.539
105.000	0.539
106.000	0.535
107.000	0.535
108.000	0.535
109.000	0.534
110.000	0.534
111.000	0.535
112.000	0.534
113.000	0.533
114.000	0.530
115.000	0.528
116.000	0.527
117.000	0.525
118.000	0.526
119.000	0.523
120.000	0.523
121.000	0.523
122.000	0.523
123.000	0.523
124.000	0.527
125.000	0.531
126.000	0.531
127.000	0.531
128.000	0.533
129.000	0.533
130.000	0.532
131.000	0.537
132.000	0.532
133.000	0.532
134.000	0.532
135.000	0.529
136.000	0.524
137.000	0.524
138.000	0.524
139.000	0.524
140.000	0.524
141.000	0.524
142.000	0.522
143.000	0.525
144.000	0.520
145.000	0.519
146.000	0.519
147.000	0.518
148.000	0.515
149.000	0.514
150.000	0.514
151.000	0.513
152.000	0.510
153.000	0.518
154.000	0.514
155.000	0.517
156.000	0.517
157.000	0.519
158.000	0.519
159.000	0.521
160.000	0.522
161.000	0.524
162.000	0.520
163.000	0.522
164.000	0.523
165.000	0.522
166.000	0.519
167.000	0.518
168.000	0.521
169.000	0.520
170.000	0.521
171.000	0.522
172.000	0.522
173.000	0.522
174.000	0.517
175.000	0.519
176.000	0.519
177.000	0.519
178.000	0.520
179.000	0.516
180.000	0.516
181.000	0.516
182.000	0.517
183.000	0.518
184.000	0.518
185.000	0.514
186.000	0.514
187.000	0.517
188.000	0.516
189.000	0.515
190.000	0.515
191.000	0.515
192.000	0.515
193.000	0.515
194.000	0.515
195.000	0.515
196.000	0.515
197.000	0.518
198.000	0.518
199.000	0.513
200.000	0.513
201.000	0.513
202.000	0.513
203.000	0.513
204.000	0.513
205.000	0.513
206.000	0.513
207.000	0.513
208.000	0.513
209.000	0.513
210.000	0.513
211.000	0.513
212.000	0.513
213.000	0.513
214.000	0.513
215.000	0.513
216.000	0.513
217.000	0.513
218.000	0.513
219.000	0.513
220.000	0.513
221.000	0.513
222.000	0.513
223.000	0.513
224.000	0.513
225.000	0.513
226.000	0.513
227.000	0.513
228.000	0.513
229.000	0.513
230.000	0.513
231.000	0.513
232.000	0.513
233.000	0.513
234.000	0.513
235.000	0.513
236.000	0.513
237.000	0.513
238.000	0.513
239.000	0.513
240.000	0.513
241.000	0.513
242.000	0.513
243.000	0.513
244.000	0.513
245.000	0.513
246.000	0.513
247.000	0.513
248.000	0.513
249.000	0.513
250.000	0.513
