COST	MEAN
50.000	0.681
51.000	0.606
52.000	0.615
53.000	0.638
54.000	0.626
55.000	0.626
56.000	0.637
57.000	0.610
58.000	0.604
59.000	0.597
60.000	0.623
61.000	0.618
62.000	0.618
63.000	0.619
64.000	0.620
65.000	0.613
66.000	0.604
67.000	0.613
68.000	0.609
69.000	0.592
70.000	0.580
71.000	0.580
72.000	0.566
73.000	0.566
74.000	0.554
75.000	0.547
76.000	0.561
77.000	0.564
78.000	0.556
79.000	0.555
80.000	0.558
81.000	0.560
82.000	0.560
83.000	0.559
84.000	0.557
85.000	0.554
86.000	0.553
87.000	0.543
88.000	0.551
89.000	0.551
90.000	0.555
91.000	0.555
92.000	0.556
93.000	0.555
94.000	0.555
95.000	0.553
96.000	0.552
97.000	0.558
98.000	0.555
99.000	0.549
100.000	0.550
101.000	0.551
102.000	0.551
103.000	0.551
104.000	0.561
105.000	0.561
106.000	0.556
107.000	0.556
108.000	0.555
109.000	0.552
110.000	0.554
111.000	0.554
112.000	0.554
113.000	0.552
114.000	0.547
115.000	0.546
116.000	0.542
117.000	0.541
118.000	0.541
119.000	0.539
120.000	0.539
121.000	0.539
122.000	0.539
123.000	0.539
124.000	0.546
125.000	0.553
126.000	0.553
127.000	0.553
128.000	0.553
129.000	0.553
130.000	0.551
131.000	0.556
132.000	0.550
133.000	0.547
134.000	0.547
135.000	0.545
136.000	0.539
137.000	0.538
138.000	0.538
139.000	0.538
140.000	0.538
141.000	0.538
142.000	0.535
143.000	0.537
144.000	0.533
145.000	0.530
146.000	0.530
147.000	0.526
148.000	0.521
149.000	0.521
150.000	0.521
151.000	0.521
152.000	0.515
153.000	0.524
154.000	0.520
155.000	0.525
156.000	0.525
157.000	0.529
158.000	0.529
159.000	0.529
160.000	0.531
161.000	0.535
162.000	0.531
163.000	0.532
164.000	0.532
165.000	0.532
166.000	0.531
167.000	0.530
168.000	0.531
169.000	0.531
170.000	0.531
171.000	0.533
172.000	0.533
173.000	0.533
174.000	0.527
175.000	0.529
176.000	0.529
177.000	0.528
178.000	0.529
179.000	0.523
180.000	0.523
181.000	0.523
182.000	0.524
183.000	0.527
184.000	0.527
185.000	0.524
186.000	0.524
187.000	0.527
188.000	0.526
189.000	0.525
190.000	0.526
191.000	0.525
192.000	0.526
193.000	0.526
194.000	0.526
195.000	0.526
196.000	0.525
197.000	0.528
198.000	0.528
199.000	0.522
200.000	0.521
201.000	0.521
202.000	0.521
203.000	0.521
204.000	0.522
205.000	0.521
206.000	0.521
207.000	0.521
208.000	0.521
209.000	0.521
210.000	0.521
211.000	0.521
212.000	0.521
213.000	0.521
214.000	0.521
215.000	0.521
216.000	0.521
217.000	0.521
218.000	0.521
219.000	0.521
220.000	0.521
221.000	0.521
222.000	0.521
223.000	0.521
224.000	0.521
225.000	0.521
226.000	0.521
227.000	0.521
228.000	0.521
229.000	0.521
230.000	0.521
231.000	0.521
232.000	0.521
233.000	0.521
234.000	0.521
235.000	0.521
236.000	0.521
237.000	0.521
238.000	0.521
239.000	0.521
240.000	0.521
241.000	0.521
242.000	0.521
243.000	0.521
244.000	0.521
245.000	0.521
246.000	0.521
247.000	0.521
248.000	0.521
249.000	0.521
250.000	0.521
