COST	MEAN
50	[25  0]	[ 0 25]
51	[34  9]	[ 8 35]
52	[35  9]	[ 8 35]
53	[35  9]	[ 9 35]
54	[35 10]	[ 9 35]
55	[35 10]	[ 9 35]
56	[35 10]	[ 9 36]
57	[35 10]	[10 36]
58	[35 10]	[10 37]
59	[36 10]	[10 37]
60	[37 10]	[10 37]
61	[38 10]	[10 37]
62	[38 10]	[10 37]
63	[38 10]	[10 38]
64	[38 10]	[10 39]
65	[38 11]	[10 39]
66	[38 12]	[10 39]
67	[38 13]	[10 39]
68	[38 14]	[10 39]
69	[38 15]	[10 39]
70	[38 16]	[10 39]
71	[38 16]	[10 39]
72	[38 17]	[10 39]
73	[38 18]	[10 39]
74	[38 18]	[11 39]
75	[38 19]	[11 39]
76	[39 19]	[11 39]
77	[39 19]	[12 39]
78	[39 20]	[12 39]
79	[39 20]	[13 39]
80	[39 21]	[13 39]
81	[39 22]	[13 39]
82	[39 22]	[13 39]
83	[39 22]	[13 40]
84	[39 23]	[13 40]
85	[39 23]	[14 40]
86	[39 24]	[14 40]
87	[39 25]	[14 40]
88	[39 26]	[14 40]
89	[39 26]	[14 40]
90	[40 26]	[14 40]
91	[40 26]	[14 41]
92	[40 26]	[14 42]
93	[41 26]	[14 42]
94	[41 26]	[14 42]
95	[41 27]	[14 42]
96	[42 27]	[14 42]
97	[42 27]	[14 43]
98	[43 27]	[14 43]
99	[43 27]	[14 44]
100	[43 27]	[14 45]
101	[43 27]	[15 45]
102	[43 27]	[15 45]
103	[43 27]	[15 45]
104	[43 27]	[15 46]
105	[43 27]	[15 46]
106	[43 27]	[15 47]
107	[43 27]	[15 47]
108	[43 27]	[15 47]
109	[44 27]	[15 47]
110	[44 27]	[15 48]
111	[45 27]	[15 48]
112	[45 27]	[15 49]
113	[45 27]	[15 50]
114	[45 28]	[15 50]
115	[45 29]	[15 50]
116	[46 29]	[15 50]
117	[46 30]	[15 50]
118	[46 30]	[15 50]
119	[46 31]	[15 50]
120	[46 31]	[15 50]
121	[46 31]	[15 50]
122	[46 31]	[15 50]
123	[46 31]	[15 50]
124	[46 31]	[15 51]
125	[47 31]	[15 51]
126	[47 31]	[15 51]
127	[47 31]	[15 51]
128	[47 31]	[16 51]
129	[47 31]	[16 51]
130	[47 31]	[17 51]
131	[47 32]	[17 51]
132	[47 33]	[17 51]
133	[47 34]	[17 51]
134	[47 34]	[17 51]
135	[47 34]	[17 52]
136	[47 35]	[17 52]
137	[47 35]	[17 53]
138	[47 35]	[17 54]
139	[48 35]	[17 54]
140	[48 35]	[17 54]
141	[48 35]	[17 54]
142	[48 35]	[18 54]
143	[48 35]	[18 55]
144	[49 35]	[18 55]
145	[49 35]	[19 55]
146	[50 35]	[19 55]
147	[50 36]	[19 55]
148	[50 36]	[20 55]
149	[50 36]	[20 56]
150	[50 36]	[20 56]
151	[50 36]	[20 56]
152	[50 37]	[20 56]
153	[50 37]	[21 56]
154	[50 37]	[22 56]
155	[51 37]	[22 56]
156	[51 37]	[22 56]
157	[51 37]	[22 57]
158	[51 37]	[22 57]
159	[52 37]	[22 57]
160	[52 37]	[22 58]
161	[53 37]	[22 58]
162	[53 37]	[22 59]
163	[54 37]	[22 59]
164	[54 37]	[22 59]
165	[54 37]	[22 59]
166	[54 37]	[23 59]
167	[54 38]	[23 59]
168	[55 38]	[23 59]
169	[55 38]	[23 59]
170	[55 38]	[23 59]
171	[55 38]	[24 59]
172	[55 38]	[24 59]
173	[55 38]	[24 59]
174	[55 38]	[24 60]
175	[55 38]	[24 61]
176	[55 38]	[24 61]
177	[55 39]	[24 61]
178	[55 39]	[24 62]
179	[55 40]	[24 62]
180	[55 40]	[24 62]
181	[55 40]	[25 62]
182	[55 40]	[25 63]
183	[55 40]	[25 64]
184	[55 40]	[25 64]
185	[55 40]	[26 64]
186	[55 40]	[26 64]
187	[55 40]	[26 65]
188	[56 40]	[26 65]
189	[56 40]	[26 66]
190	[56 40]	[26 66]
191	[56 40]	[26 66]
192	[56 40]	[26 66]
193	[57 40]	[26 66]
194	[57 40]	[26 66]
195	[57 40]	[26 66]
196	[57 40]	[27 66]
197	[57 40]	[28 66]
198	[57 40]	[28 66]
199	[57 41]	[28 66]
200	[57 41]	[29 66]
201	[57 41]	[29 66]
202	[57 41]	[29 66]
203	[57 41]	[29 66]
204	[57 41]	[29 66]
205	[57 41]	[29 66]
206	[57 41]	[29 66]
207	[57 41]	[29 66]
208	[57 41]	[29 66]
209	[57 41]	[29 66]
210	[57 41]	[29 66]
211	[57 41]	[29 66]
212	[57 41]	[29 66]
213	[57 41]	[29 66]
214	[57 41]	[29 66]
215	[57 41]	[29 66]
216	[57 41]	[29 66]
