COST	MEAN
50.000	0.625
51.000	0.667
52.000	0.664
53.000	0.664
54.000	0.661
55.000	0.661
56.000	0.660
57.000	0.660
58.000	0.662
59.000	0.666
60.000	0.672
61.000	0.673
62.000	0.669
63.000	0.669
64.000	0.668
65.000	0.667
66.000	0.657
67.000	0.659
68.000	0.667
69.000	0.667
70.000	0.661
71.000	0.657
72.000	0.657
73.000	0.657
74.000	0.657
75.000	0.661
76.000	0.664
77.000	0.667
78.000	0.665
79.000	0.664
80.000	0.661
81.000	0.661
82.000	0.658
83.000	0.657
84.000	0.655
85.000	0.656
86.000	0.657
87.000	0.657
88.000	0.658
89.000	0.661
90.000	0.661
91.000	0.662
92.000	0.662
93.000	0.661
94.000	0.661
95.000	0.663
96.000	0.662
97.000	0.662
98.000	0.662
99.000	0.663
100.000	0.661
101.000	0.662
102.000	0.662
103.000	0.661
104.000	0.661
105.000	0.660
106.000	0.658
107.000	0.658
108.000	0.658
109.000	0.662
110.000	0.663
111.000	0.661
112.000	0.661
113.000	0.663
114.000	0.663
115.000	0.663
116.000	0.664
117.000	0.665
118.000	0.666
119.000	0.663
120.000	0.661
121.000	0.662
122.000	0.662
123.000	0.662
124.000	0.662
125.000	0.666
126.000	0.666
127.000	0.661
128.000	0.664
129.000	0.663
130.000	0.663
131.000	0.663
132.000	0.659
133.000	0.659
134.000	0.656
135.000	0.656
136.000	0.656
137.000	0.657
138.000	0.656
139.000	0.655
140.000	0.655
141.000	0.655
142.000	0.657
143.000	0.656
144.000	0.658
145.000	0.652
146.000	0.652
147.000	0.654
148.000	0.654
149.000	0.655
150.000	0.655
151.000	0.655
152.000	0.657
153.000	0.657
154.000	0.656
155.000	0.657
156.000	0.657
157.000	0.657
158.000	0.661
159.000	0.661
160.000	0.661
161.000	0.660
162.000	0.661
163.000	0.663
164.000	0.663
165.000	0.662
166.000	0.662
167.000	0.659
168.000	0.663
169.000	0.662
170.000	0.662
171.000	0.662
172.000	0.662
173.000	0.661
174.000	0.657
175.000	0.657
176.000	0.655
177.000	0.657
178.000	0.660
179.000	0.662
180.000	0.663
181.000	0.664
182.000	0.664
183.000	0.667
184.000	0.659
185.000	0.661
186.000	0.661
187.000	0.663
188.000	0.662
189.000	0.656
190.000	0.656
191.000	0.658
192.000	0.657
193.000	0.661
194.000	0.661
195.000	0.661
196.000	0.661
197.000	0.661
198.000	0.654
199.000	0.655
200.000	0.655
201.000	0.655
202.000	0.655
203.000	0.655
204.000	0.655
205.000	0.656
206.000	0.655
207.000	0.655
208.000	0.655
209.000	0.655
210.000	0.655
211.000	0.655
212.000	0.655
213.000	0.655
214.000	0.656
215.000	0.655
216.000	0.655
217.000	0.655
218.000	0.656
219.000	0.655
220.000	0.655
221.000	0.655
222.000	0.655
223.000	0.655
224.000	0.655
225.000	0.655
226.000	0.655
227.000	0.655
228.000	0.655
229.000	0.655
230.000	0.655
231.000	0.655
232.000	0.655
233.000	0.655
234.000	0.655
235.000	0.655
236.000	0.655
237.000	0.655
238.000	0.655
239.000	0.655
240.000	0.655
241.000	0.655
242.000	0.655
243.000	0.655
244.000	0.655
245.000	0.655
246.000	0.655
247.000	0.655
248.000	0.655
249.000	0.655
250.000	0.655
