COST	MEAN
50.000	0.682
51.000	0.733
52.000	0.730
53.000	0.730
54.000	0.725
55.000	0.727
56.000	0.727
57.000	0.727
58.000	0.729
59.000	0.733
60.000	0.739
61.000	0.740
62.000	0.735
63.000	0.735
64.000	0.735
65.000	0.734
66.000	0.719
67.000	0.719
68.000	0.729
69.000	0.729
70.000	0.723
71.000	0.721
72.000	0.721
73.000	0.721
74.000	0.721
75.000	0.723
76.000	0.725
77.000	0.728
78.000	0.726
79.000	0.726
80.000	0.725
81.000	0.722
82.000	0.720
83.000	0.718
84.000	0.716
85.000	0.716
86.000	0.718
87.000	0.718
88.000	0.719
89.000	0.723
90.000	0.723
91.000	0.723
92.000	0.723
93.000	0.722
94.000	0.722
95.000	0.725
96.000	0.725
97.000	0.725
98.000	0.725
99.000	0.726
100.000	0.722
101.000	0.722
102.000	0.722
103.000	0.722
104.000	0.721
105.000	0.721
106.000	0.720
107.000	0.720
108.000	0.720
109.000	0.721
110.000	0.721
111.000	0.721
112.000	0.721
113.000	0.722
114.000	0.722
115.000	0.722
116.000	0.724
117.000	0.726
118.000	0.728
119.000	0.727
120.000	0.722
121.000	0.722
122.000	0.722
123.000	0.722
124.000	0.725
125.000	0.728
126.000	0.728
127.000	0.724
128.000	0.725
129.000	0.725
130.000	0.727
131.000	0.727
132.000	0.722
133.000	0.721
134.000	0.718
135.000	0.720
136.000	0.720
137.000	0.720
138.000	0.720
139.000	0.719
140.000	0.718
141.000	0.718
142.000	0.719
143.000	0.719
144.000	0.721
145.000	0.711
146.000	0.712
147.000	0.713
148.000	0.712
149.000	0.713
150.000	0.714
151.000	0.714
152.000	0.717
153.000	0.717
154.000	0.717
155.000	0.716
156.000	0.716
157.000	0.716
158.000	0.719
159.000	0.719
160.000	0.719
161.000	0.719
162.000	0.719
163.000	0.722
164.000	0.722
165.000	0.722
166.000	0.719
167.000	0.717
168.000	0.719
169.000	0.721
170.000	0.720
171.000	0.720
172.000	0.721
173.000	0.721
174.000	0.717
175.000	0.717
176.000	0.715
177.000	0.715
178.000	0.719
179.000	0.720
180.000	0.722
181.000	0.722
182.000	0.723
183.000	0.725
184.000	0.720
185.000	0.721
186.000	0.721
187.000	0.721
188.000	0.720
189.000	0.716
190.000	0.714
191.000	0.717
192.000	0.716
193.000	0.719
194.000	0.719
195.000	0.719
196.000	0.719
197.000	0.720
198.000	0.711
199.000	0.713
200.000	0.712
201.000	0.712
202.000	0.712
203.000	0.712
204.000	0.712
205.000	0.712
206.000	0.712
207.000	0.712
208.000	0.712
209.000	0.712
210.000	0.712
211.000	0.712
212.000	0.712
213.000	0.712
214.000	0.712
215.000	0.712
216.000	0.712
217.000	0.712
218.000	0.712
219.000	0.712
220.000	0.712
221.000	0.712
222.000	0.712
223.000	0.712
224.000	0.712
225.000	0.712
226.000	0.712
227.000	0.712
228.000	0.712
229.000	0.712
230.000	0.712
231.000	0.712
232.000	0.712
233.000	0.712
234.000	0.712
235.000	0.712
236.000	0.712
237.000	0.712
238.000	0.712
239.000	0.712
240.000	0.712
241.000	0.712
242.000	0.712
243.000	0.712
244.000	0.712
245.000	0.712
246.000	0.712
247.000	0.712
248.000	0.712
249.000	0.712
250.000	0.712
