COST	MEAN
50	[25  0]	[ 0 25]
51	[41  3]	[ 1 46]
52	[41  3]	[ 1 47]
53	[41  3]	[ 1 47]
54	[41  4]	[ 1 47]
55	[41  4]	[ 1 48]
56	[41  4]	[ 1 49]
57	[41  4]	[ 1 49]
58	[41  5]	[ 1 49]
59	[42  5]	[ 1 49]
60	[43  5]	[ 1 49]
61	[44  5]	[ 1 49]
62	[44  5]	[ 1 50]
63	[44  5]	[ 1 50]
64	[44  5]	[ 1 51]
65	[44  5]	[ 1 52]
66	[44  5]	[ 2 52]
67	[44  5]	[ 2 53]
68	[45  5]	[ 2 53]
69	[45  5]	[ 2 53]
70	[45  5]	[ 2 54]
71	[45  5]	[ 2 55]
72	[45  5]	[ 2 56]
73	[45  5]	[ 2 56]
74	[45  5]	[ 2 56]
75	[45  6]	[ 2 56]
76	[46  6]	[ 2 56]
77	[46  6]	[ 2 57]
78	[46  6]	[ 2 58]
79	[46  7]	[ 2 58]
80	[46  7]	[ 2 59]
81	[46  7]	[ 3 59]
82	[46  7]	[ 3 60]
83	[46  7]	[ 4 60]
84	[46  7]	[ 5 60]
85	[46  8]	[ 5 60]
86	[46  8]	[ 5 61]
87	[46  8]	[ 5 61]
88	[46  8]	[ 5 62]
89	[46  9]	[ 5 62]
90	[46  9]	[ 5 62]
91	[46  9]	[ 5 62]
92	[46  9]	[ 5 62]
93	[47  9]	[ 5 62]
94	[48  9]	[ 5 62]
95	[49  9]	[ 5 62]
96	[49  9]	[ 5 63]
97	[49  9]	[ 5 63]
98	[49  9]	[ 5 63]
99	[50  9]	[ 5 63]
100	[50 10]	[ 5 63]
101	[50 10]	[ 6 63]
102	[50 10]	[ 6 63]
103	[51 10]	[ 6 63]
104	[52 10]	[ 6 63]
105	[52 10]	[ 6 64]
106	[53 10]	[ 6 64]
107	[53 10]	[ 6 64]
108	[53 10]	[ 6 64]
109	[54 10]	[ 6 64]
110	[54 10]	[ 6 65]
111	[54 10]	[ 6 66]
112	[54 10]	[ 6 67]
113	[54 10]	[ 6 68]
114	[54 10]	[ 6 68]
115	[54 10]	[ 6 68]
116	[54 10]	[ 6 69]
117	[54 10]	[ 6 70]
118	[54 10]	[ 7 70]
119	[55 10]	[ 7 70]
120	[55 11]	[ 7 70]
121	[56 11]	[ 7 70]
122	[56 11]	[ 7 70]
123	[56 11]	[ 7 70]
124	[56 11]	[ 7 71]
125	[56 11]	[ 7 72]
126	[56 11]	[ 7 72]
127	[56 12]	[ 7 72]
128	[57 12]	[ 7 72]
129	[57 13]	[ 7 72]
130	[58 13]	[ 7 72]
131	[58 13]	[ 7 72]
132	[59 13]	[ 7 72]
133	[60 13]	[ 7 72]
134	[60 14]	[ 7 72]
135	[61 14]	[ 7 72]
136	[61 14]	[ 7 72]
137	[62 14]	[ 7 72]
138	[62 14]	[ 7 72]
139	[63 14]	[ 7 72]
140	[64 14]	[ 7 72]
141	[64 14]	[ 7 72]
142	[64 15]	[ 7 72]
143	[64 15]	[ 7 72]
144	[65 15]	[ 7 72]
145	[65 15]	[ 8 72]
146	[66 15]	[ 8 72]
147	[67 15]	[ 8 72]
148	[68 15]	[ 8 72]
149	[69 15]	[ 8 72]
150	[69 16]	[ 8 72]
151	[69 16]	[ 8 72]
152	[70 16]	[ 8 72]
153	[70 16]	[ 8 72]
154	[70 16]	[ 8 72]
155	[70 16]	[ 8 73]
156	[70 16]	[ 8 74]
157	[71 16]	[ 8 74]
158	[71 16]	[ 9 74]
159	[71 16]	[ 9 74]
160	[71 16]	[ 9 74]
161	[71 16]	[ 9 74]
162	[71 16]	[ 9 74]
163	[71 16]	[ 9 75]
164	[71 16]	[ 9 75]
165	[71 16]	[ 9 75]
166	[71 16]	[10 75]
167	[72 16]	[10 75]
168	[72 16]	[10 76]
169	[73 16]	[10 76]
170	[73 16]	[10 77]
171	[74 16]	[10 77]
172	[75 16]	[10 77]
173	[76 16]	[10 77]
174	[76 16]	[11 77]
175	[76 16]	[11 77]
176	[76 17]	[11 77]
177	[77 17]	[11 77]
178	[78 17]	[11 77]
179	[78 17]	[12 77]
180	[78 17]	[12 78]
181	[78 17]	[12 78]
182	[78 17]	[12 79]
183	[78 17]	[13 79]
184	[78 18]	[13 79]
185	[78 18]	[13 80]
186	[78 18]	[13 80]
187	[78 18]	[13 81]
188	[78 18]	[13 82]
189	[78 18]	[13 83]
190	[78 18]	[13 84]
191	[79 18]	[13 84]
192	[80 18]	[13 84]
193	[81 18]	[13 84]
194	[81 18]	[13 85]
195	[81 18]	[13 85]
196	[81 18]	[13 86]
197	[82 18]	[13 86]
198	[82 19]	[13 86]
199	[83 19]	[13 86]
200	[83 19]	[13 87]
201	[83 19]	[13 87]
202	[83 19]	[13 87]
203	[83 19]	[13 87]
204	[83 19]	[13 87]
205	[83 19]	[13 87]
206	[83 19]	[13 87]
207	[83 19]	[13 87]
208	[83 19]	[13 87]
209	[83 19]	[13 87]
210	[83 19]	[13 87]
211	[83 19]	[13 87]
212	[83 19]	[13 87]
213	[83 19]	[13 87]
214	[83 19]	[13 87]
215	[83 19]	[13 87]
216	[83 19]	[13 87]
217	[83 19]	[13 87]
218	[83 19]	[13 87]
219	[83 19]	[13 87]
220	[83 19]	[13 87]
221	[83 19]	[13 87]
222	[83 19]	[13 87]
223	[83 19]	[13 87]
224	[83 19]	[13 87]
225	[83 19]	[13 87]
226	[83 19]	[13 87]
227	[83 19]	[13 87]
228	[83 19]	[13 87]
229	[83 19]	[13 87]
230	[83 19]	[13 87]
231	[83 19]	[13 87]
232	[83 19]	[13 87]
233	[83 19]	[13 87]
234	[83 19]	[13 87]
235	[83 19]	[13 87]
236	[83 19]	[13 87]
237	[83 19]	[13 87]
238	[83 19]	[13 87]
239	[83 19]	[13 87]
240	[83 19]	[13 87]
241	[83 19]	[13 87]
242	[83 19]	[13 87]
243	[83 19]	[13 87]
244	[83 19]	[13 87]
245	[83 19]	[13 87]
246	[83 19]	[13 87]
247	[83 19]	[13 87]
248	[83 19]	[13 87]
249	[83 19]	[13 87]
250	[83 19]	[13 87]
