doc_index	true_label	exp_label	snippet	doc_text
13376	1	1	54.5522129536	From the wonderfully twisted, lurid, intertwining stories, to the deliciously sinister performances from Robert Stack and Dorothy Malone, to the vivid, gaudy colour with which it's all captured, this is high-class trash and it's great fun.	I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals. Whatever the case, I'm sure I loved it. From the wonderfully twisted, lurid, intertwining stories, to the deliciously sinister performances from Robert Stack and Dorothy Malone, to the vivid, gaudy colour with which it's all captured, this is high-class trash and it's great fun. Not to mention the amusingly sly and thinly veiled sexual subtexts which permeate the entire film, always threatening to escape from the image into the dialogue but never doing so. I'd be lying if I said that the film's sheer entertainment value didn't contribute to my love for it, but there's some sort of bizarre artistry behind the unintentional (or was it?) comedy and I really, really dug that. I could really get into this melodrama stuff.
22015	1	0	11.4764609337	I normally like Ms Shue, but here she acts as a fish out of water and sometimes seems to be in a different movie.	There are few comedies like this, where almost every line and every character come close to flawless. This is soooo funny!! And it has quite a bit of satire there to. Sally Field is heading the field of truly outstanding actors and does a good, if not perfect, job with her daytime tv-diva. Sometimes her acting is just a little to broad and over the top, but 90 % of the time she is a riot! In the same league is Kevin Kline, Robert Downey Jr and Whoopy Goldberg (who unfortunately has too little to do here). Downey jr may not convince entirely as a comedian and has not the timing right all the time, but he struggles with his part which is, to be honest, the most ungrateful one. But the shining star here is Cathy Moriarty as Celeste, a true bitch if there ever was one with more than one nasty secret (you will see in the absolutely stunning finale!). Sadly Elisabeth Shue never seems to be quite comfortable in her part. I normally like Ms Shue, but here she acts as a fish out of water and sometimes seems to be in a different movie. But it is not something damaging and for the most part she is at least adequate. Otherwise, brimming with memorable lines and situations, this is a comedy to watch whenever it is on TV or wherever.
13506	0	0	9.97799992561	Here, however, it seemed like unsupported mystical mumbo-jumbo.<br /><br />As a film: this wasn't one film, it was two.	A definite no. A resounding NO. This movie is an absolute dud.<br /><br />Having been recommended to me by a friend very much into "that sort of thing," I watched this movie with some anticipation of being informed, changed, moved, altered, uplifted, and all the other positive mystical things that could happen to me when I suddenly see The Truth. Now this may sound like someone who is already predisposed to poo-pooing anything dealing with the metaphysical, the metaphysical/physical boundaries of existence. Believe me, I am not such a person. I try to be open about any presentation and then decide accordingly.<br /><br />In terms of content, the only thing I found mildly interesting and informative, was the bit about peptides, emotions, addiction, and cellular receptors. That was the only "unifying" element I could find in the documentary part of this film. The rest of the documentary rambled around several topics and never seemed to unify and cohere, try to tie up and conclude to a point. And what was all that stuff about native Americans not being able to see the ships that Columbus came in? Who told the "authorities" in this film that that was what happened in 1492? Where they there too? Had they compared this to scientific work being done in visual cognition (the famous gorilla video, for example, visit the Visual Cognition Lab at the University of Illinois site) there may have been a more convincing point made. Here, however, it seemed like unsupported mystical mumbo-jumbo.<br /><br />As a film: this wasn't one film, it was two. I found the documentary part mildly interesting, just to hear the people talking about what they were talking about (I was annoyed that their credentials weren't presented at the bottom of the screen when they spoke, at least initially!) But I found the "story" part of the movie with Matlin in it annoying, disjointed, intrusive, non-related and downright stupid. That bit about the Polish wedding with that dance was not in the least bit funny. It was laughable, ludicrous, sophomoric, and stupid. And I found the use of the word "Pollack" offensive. It just seemed so out of place and wrong. Is such usage okay because a member of the group uses a pejorative term to refer to the group because he or she is a member of the group? That may be okay to make a point, but it didn't seem to be used that way here. And in any case, I don't care what the reason, it offended me, a Pole. I never call myself or refer to my ethnic background as "Pollack." And I certainly don't like like it when others do. Can I watch or listen to a bigoted conversation in which this term is used? You betcha! But again this didn't seem to be the case here. It just seemed so out of place. Unprovocked, unmitigated.<br /><br />The acting was abysmal. Elaine Hendrix's performance was totally unbelievable. At times, it seemed like she was just reading her lines that had just been given to her. Marlee Matlin for the most part seemed to be sleep walking through this whole thing. Perhaps she was baffled by the material. I know I was. If she was supposed to be portraying a disillusioned drugged-up anxiety-prone malcontent, it just didn't seem to click. But by far, the world's worst was Hendrix! All in all, I found this a disjointed, poorly acted piece of clap-trap.
17100	0	0	19.02282691	There are far more shots of the old western trail, 1950's Easy Rider trail, Film noir's night club scene, even a jog on the beach in fantasy-land, none of which has any real depth or even makes any sense.	Who me? No, I'm not kidding. That's what it really says on the video case.<br /><br />Plot; short version: Pretty woman stands around smiling. This, for some reason, makes all men kill each other.<br /><br />"Find Ariel...Where's Ariel...Can't Find Ariel..." She's right behind you, you idiot...<br /><br />Most of what can be said about this horrendous little Space Opera has already been said, looks like.<br /><br />A bunch of corny actors playing mostly convicts come in after the first selection of actors is knocked off very quickly. Then they get knocked off in the same way. Every scene is broadcast nearly fifteen minutes in advance. Perhaps it was a drawing of straws to see which actors had the most screen time and bigger pay check. The alien virus/hologram/VR witch/glitch seems physically powerless and doesn't do a thing. Why can't she just stay in the computer instead of doing her "teleporting vampire" routine? (Actually, it would've been more interesting if she had been a vampire, or doing more than just standing around looking at people, which is all she ever does. This is enough to make all the men kill each other. Go figure...)<br /><br />This isn't really a space flick. There are far more shots of the old western trail, 1950's Easy Rider trail, Film noir's night club scene, even a jog on the beach in fantasy-land, none of which has any real depth or even makes any sense. The night club scene is in black and white, of course. Worked with "The Wizard of Oz". Doesn't work so well, here. This is probably a good thing, as those few shots they DO show of space are depressingly silly. You will probably cry during those moments, especially upon seeing that swirling "space ship", which looks about three inches long.<br /><br />Nothing is felt for any of the characters, not because they are convicts or have no personality, but because they are in serious need of acting lessons, except for Billy Dee Williams who really does look depressed and at a loss, probably by being in this work...<br /><br />This is one of those movies that, when viewed with friends, is going to cause some extremely "loud" silences, especially when the nerd throws out his attempt at comic one-liners (including the line about French-kissing a meteor...? Did I hear that right? Perhaps not...)<br /><br />The original virtual reality girls get "killed", which means nothing, as they are not even real to begin with. Well, the other "characters" aren't, either, but that's beside the point. Haha.<br /><br />What's kind of funny is that the scene that graces the video case is some sort of skull-horror-alien looking thing (green filter added on top of that, to give it more of a...uh...green look), which is actually the android after he gets killed and ultimately has nothing to do with anything else afoot.<br /><br />Another odd deal I noticed. Whenever there is an explosion (at least on my cheap DVD copy), everything becomes highly pixelated. I don't mean a LITTLE pixelated, I mean HUGE blocks about 1/16th the size of the screen. Wow.
9384	1	1	25.3171138763	Nothing like Tinker Tailor in terms of "whodunnit".	I have just watched the whole 6 episodes on DVD. The acting throughout is excellent - no question. There was not quite enough action for me I must say. No real suspense as such, just plenty of first class character development. Nothing like Tinker Tailor in terms of "whodunnit". If you like a good story slowly and carefully told then this is for you. Peter Egan as the lead Magnus Pym is excellent.<br /><br />The film portrayed the life of a traitor. A man who should have been a loyal member of the British Intelligence Service but who was so damaged psychologically by his unhappy childhood that deception became his way of life in all things. As a child he adored his father but his father was exposed time & time again as a crook and a con man. Pym betrayed not for ideology or money but because he needed to deceive those closest to him (wife, son, mentor). Pym is fatally damaged by his father's influence - it has eaten his moral fibre away. He has no real love or loyalty in him.<br /><br />Heavy psychological stuff and not many light moments in the 6 hour series. Very well done though.
19779	1	1	20.5260369778	For the record, I am not affiliated with the production in any way.<br /><br />Hidden Frontier is probably the Star Trek fan film with the most episodes produced to date.	For the record, I am not affiliated with the production in any way.<br /><br />Hidden Frontier is probably the Star Trek fan film with the most episodes produced to date. Over 7 seasons (this is the last) they have produced some 50 or so episodes.<br /><br />This is no mean feat on almost no budget and everyone volunteering their time and energy.<br /><br />By their own admission, the earlier seasons do not have as good production qualities as later ones but as they progress the effects, green screen work and acting all improve.<br /><br />I did find it difficult to "dip into" so started from the beginning and watched all the way through. HF benefits from story arcs just like all the best sci fi and dovetails nicely into the Star Trek universe in which it is set. Characters and "relatives" from the original series have been brought into the stories and add a lot to the feel of the stories, sometimes improving on the characters over the original.<br /><br />The whole experience includes an excellent web site, blooper reels, a high membership forum which is frequented by many of the actors and production staff and a weekly chat.<br /><br />If you are looking for high definition, high budget productions, this is probably not for you.<br /><br />If you are looking for continued adventures in the Star Trek universe with stories that does Star Trek credit and makes you think, this is the one.
19922	0	0	10.0740890503	<br /><br />The strange, almost thrown in occult sequences were not only out of place, they were infuriating.	9, the film I've been looking forward to for months.... was little more then a disappointment.<br /><br />I was deeply surprised by 9's lack of story and strange character development. All the awesome action sequences in the world don't make up for a single unsympathetic character. <br /><br />The strange, almost thrown in occult sequences were not only out of place, they were infuriating. The story is about robots and scientists... why does it suddenly turn into a necronomicon horror wannabe with mystical symbols and green magic ghost lines instead of giving answers to what could have been excellently scary story devices??<br /><br />How, what, when, why.... questions that bode asking only if you care and it becomes less and less likely that you will as you get away from the theater. <br /><br />A film like this is frustrating because of its lack of depth.... I would watch this film drawn in crayon if the story was good. But the filmmakers have relied on CGI wizardry and Tim Burtons name to draw in the crowd. Which... is what drew me in but failed to gain my respect.<br /><br />9 could have been awesome... with a few more rewrites and a little more respect from its own creators.
5695	1	0	7.82302308083	<br /><br />If you want traditional narrative in a film, then don't bother.	I have to admit I have always found it difficult to watch an Antonioni film from start to finish at the first try, and even for this one, I ended up watching it in three parts on repeated occasions. In the end, I realised perhaps it was better that way, because it forced me to stop thinking in the usual terms of plot and just enjoy the scenes one by one. <br /><br />The first part seems a lot more fragmentary, which is not a bad thing, it just requires more of an effort to follow. When it gets to the desert scenes, all efforts are repaid in full. The stunning cinematography is only a part of it, what really makes it all unforgettable is how the landscape is made into an overwhelming presence, the silence and vastness of it, the sense of sadness and freedom, the way it fuses and contrasts with the two young characters. The desert is dead, but at the same time it feels less distant and alien than the urban scenes in the first part. The dance between the airplane flying over and the girl's car makes for a series of great shots. The love scenes in the desert are simply beautiful, it is hard to imagine this kind of approach from a film of our times. There is of course something very stylish and studied about them, but at the same time they manage to express a sense of natural, spontaneous innocence that is very rare these days. It all feels loose and unscripted (thanks also to the understated acting), but that is the result of a maniacal attention to detail and form, which comes to its climax in the series of explosions at the end, a really mesmerising spectacle. It just leaves you in awe.<br /><br />I don't really care for some the usual objections: boring - well, yes, it is, if you want all films to follow a classic plot development and be packed with action twists, but then if all cinema was like that, that would be truly dull and sad; pretentious - maybe, but when that kind of ambitiousness is coupled with actual skills, depth, and style, pretentious is a compliment. The "political" criticisms make the least sense to me, I don't see the point of approaching a film like this with ideological blinders or worse, patriotic requirements. It just defeats the purpose. Perhaps it's true that, like a previous commenter remarked, Antonioni viewed these young 'hippies' and the politics of protests and riots with the police with the fascination of a foreigner, but I think that adds something rather than detracting from the film. It's not true that hippies did not exist in Italy at the time (think of the '68 protests, like in France), although they were obviously different from the American counterpart and in some ways even more militant. But his interest in this film was not narrowly political. The events seem more like a pretext for a film whose appeal has a universal, timeless quality.<br /><br />A special mention for the fantastic soundtrack. Amongst other things, this film, along with Easy Rider, is probably one of the main earliest precursors of the contemporary 'artsy' music video as well as the concept of a film soundtrack that would stand on its own, but unlike the former, it uses music in a much more subtle way, blending it with the landscape rather than the action. <br /><br />If you want traditional narrative in a film, then don't bother. If you want to be stunned, be patient and you won't regret it.
8264	1	1	7.00602889061	The two leads play off each other beautifully.	When my now college age daughter was in preschool, this miniseries appeared on A&E from 8-9 each morning. My neighbor and I made a pact that we wouldn't miss a minute of Jane Eyre and our kids were late for preschool every morning for the whole week. Good choice.<br /><br />I'd forgotten how much I loved this movie until I got out my old VHS copy recently. Timothy Dalton is very handsome, but still perfect as Rochester. The dark, craggy face, the imperious demeanor tempered with humor and tenderness were straight from the pages of the book. Although Dalton eats a little scenery, I couldn't sit through an adaptation starring wimpy William Hurt or grumpy Ciaran Hinds. The magic here is that women love Dalton and get caught up in the romance.<br /><br />I would love to know what's become of Zelah Clarke. She is dead on as Jane, quiet, formal, saying volumes with but a look. The sparkle in her eyes gives viewers a glimpse of the strength and spirited nature that helped Jane survive the mistreatment she endured in youth. Criticism of her performance as "wooden" is misplaced. A servant in a proper English household would have maintained just such a demeanor, but she speaks passionately when overcome with emotion. Unlike many other screen Janes, she appears plain enough to be Jane yet pretty enough to allow the audience to buy Rochester's attraction to her.<br /><br />Bronte's dialog is a large part of why the book endures the script keeps much of it intact. Dalton and Clarke capture the interplay between Jane and Rochester with wit and quiet intensity. Although Jane appears as plain and sweet as vanilla custard, she refuses to be cowed by the dark, blustery Rochester. The two leads play off each other beautifully. <br /><br />This is the most perfect adaptation of the best romance novel ever.
8085	1	1	8.9268219471	My evaluation: 8/10<br /><br />I like a lot this movie.	My evaluation: 8/10<br /><br />I like a lot this movie. Compare to today brainless movie (just action and special effet and nothing new about ideas), "Soylent Green" ask to something that today doesn't exist anymore: To Think.<br /><br />Well it would not a big surprise a day human eat "cookies" which are create with body of human. With all what happen on this planet, and to see how people are so indifferent to all, this kind of future is possible.<br /><br />Sure this movie take some age but the idea behind the movie is actual again. Rich at Paradise, other in the hell. Well a luck today they are TV and idiocy like "Reality Show".<br /><br />TV is a good wash brain. It's pity to see that intelligence of human have not progress like technologies. Since writing all stop.<br /><br />If you like reality show this movie is not for you. If you believe all politician same too. If you don't like ask yourself question about now and future well never look this movie.
