COST	MEAN
50.000	0.628
51.000	0.628
52.000	0.621
53.000	0.614
54.000	0.608
55.000	0.610
56.000	0.609
57.000	0.608
58.000	0.616
59.000	0.616
60.000	0.618
61.000	0.614
62.000	0.597
63.000	0.596
64.000	0.596
65.000	0.596
66.000	0.596
67.000	0.597
68.000	0.604
69.000	0.603
70.000	0.599
71.000	0.605
72.000	0.613
73.000	0.608
74.000	0.608
75.000	0.582
76.000	0.583
77.000	0.583
78.000	0.585
79.000	0.586
80.000	0.583
81.000	0.583
82.000	0.583
83.000	0.583
84.000	0.584
85.000	0.585
86.000	0.585
87.000	0.585
88.000	0.594
89.000	0.589
90.000	0.588
91.000	0.589
92.000	0.581
93.000	0.582
94.000	0.582
95.000	0.582
96.000	0.582
97.000	0.589
98.000	0.580
99.000	0.576
100.000	0.579
101.000	0.580
102.000	0.572
103.000	0.567
104.000	0.573
105.000	0.556
106.000	0.555
107.000	0.558
108.000	0.555
109.000	0.542
110.000	0.549
111.000	0.549
112.000	0.550
113.000	0.554
114.000	0.554
115.000	0.575
116.000	0.577
117.000	0.571
118.000	0.574
119.000	0.574
120.000	0.580
121.000	0.574
122.000	0.572
123.000	0.572
124.000	0.572
125.000	0.572
126.000	0.571
127.000	0.571
128.000	0.563
129.000	0.563
130.000	0.561
131.000	0.556
132.000	0.555
133.000	0.551
134.000	0.551
135.000	0.551
136.000	0.552
137.000	0.558
138.000	0.554
139.000	0.546
140.000	0.547
141.000	0.556
142.000	0.554
143.000	0.549
144.000	0.550
145.000	0.548
146.000	0.549
147.000	0.548
148.000	0.552
149.000	0.546
150.000	0.540
151.000	0.536
152.000	0.533
153.000	0.535
154.000	0.534
155.000	0.537
156.000	0.539
157.000	0.539
158.000	0.532
159.000	0.529
160.000	0.529
161.000	0.530
162.000	0.530
163.000	0.528
164.000	0.524
165.000	0.542
166.000	0.542
167.000	0.544
168.000	0.542
169.000	0.541
170.000	0.540
171.000	0.543
172.000	0.543
173.000	0.539
174.000	0.540
175.000	0.539
176.000	0.531
177.000	0.537
178.000	0.538
179.000	0.537
180.000	0.536
181.000	0.536
182.000	0.537
183.000	0.532
184.000	0.530
185.000	0.531
186.000	0.536
187.000	0.532
188.000	0.532
189.000	0.542
190.000	0.540
191.000	0.538
192.000	0.535
193.000	0.532
194.000	0.526
195.000	0.522
196.000	0.522
197.000	0.523
198.000	0.526
199.000	0.526
200.000	0.528
201.000	0.530
202.000	0.530
203.000	0.533
204.000	0.528
205.000	0.530
206.000	0.525
207.000	0.527
208.000	0.527
209.000	0.527
210.000	0.532
211.000	0.532
212.000	0.532
213.000	0.529
214.000	0.527
215.000	0.524
216.000	0.525
217.000	0.525
218.000	0.525
219.000	0.524
220.000	0.525
221.000	0.525
222.000	0.525
223.000	0.525
224.000	0.525
225.000	0.525
226.000	0.523
227.000	0.526
228.000	0.525
229.000	0.527
230.000	0.526
231.000	0.526
232.000	0.530
233.000	0.527
234.000	0.531
235.000	0.531
236.000	0.526
237.000	0.521
238.000	0.521
239.000	0.514
240.000	0.513
241.000	0.514
242.000	0.514
243.000	0.518
244.000	0.520
245.000	0.521
246.000	0.520
247.000	0.520
248.000	0.515
249.000	0.515
250.000	0.516
