COST	MEAN
50.000	0.676
51.000	0.676
52.000	0.669
53.000	0.660
54.000	0.650
55.000	0.650
56.000	0.650
57.000	0.650
58.000	0.667
59.000	0.667
60.000	0.668
61.000	0.666
62.000	0.640
63.000	0.640
64.000	0.640
65.000	0.640
66.000	0.640
67.000	0.640
68.000	0.653
69.000	0.652
70.000	0.644
71.000	0.654
72.000	0.663
73.000	0.657
74.000	0.657
75.000	0.633
76.000	0.627
77.000	0.627
78.000	0.629
79.000	0.621
80.000	0.620
81.000	0.621
82.000	0.621
83.000	0.620
84.000	0.621
85.000	0.623
86.000	0.623
87.000	0.623
88.000	0.631
89.000	0.628
90.000	0.623
91.000	0.626
92.000	0.610
93.000	0.611
94.000	0.612
95.000	0.612
96.000	0.612
97.000	0.620
98.000	0.609
99.000	0.605
100.000	0.607
101.000	0.609
102.000	0.598
103.000	0.592
104.000	0.601
105.000	0.578
106.000	0.578
107.000	0.585
108.000	0.580
109.000	0.563
110.000	0.574
111.000	0.575
112.000	0.576
113.000	0.581
114.000	0.581
115.000	0.606
116.000	0.608
117.000	0.603
118.000	0.601
119.000	0.605
120.000	0.613
121.000	0.606
122.000	0.602
123.000	0.602
124.000	0.602
125.000	0.602
126.000	0.600
127.000	0.600
128.000	0.592
129.000	0.592
130.000	0.584
131.000	0.582
132.000	0.579
133.000	0.575
134.000	0.575
135.000	0.575
136.000	0.575
137.000	0.583
138.000	0.578
139.000	0.567
140.000	0.569
141.000	0.581
142.000	0.575
143.000	0.571
144.000	0.571
145.000	0.569
146.000	0.569
147.000	0.569
148.000	0.573
149.000	0.567
150.000	0.558
151.000	0.553
152.000	0.551
153.000	0.550
154.000	0.549
155.000	0.553
156.000	0.556
157.000	0.556
158.000	0.553
159.000	0.548
160.000	0.548
161.000	0.548
162.000	0.548
163.000	0.542
164.000	0.536
165.000	0.563
166.000	0.563
167.000	0.566
168.000	0.563
169.000	0.560
170.000	0.560
171.000	0.561
172.000	0.561
173.000	0.553
174.000	0.553
175.000	0.555
176.000	0.545
177.000	0.552
178.000	0.552
179.000	0.554
180.000	0.552
181.000	0.551
182.000	0.554
183.000	0.549
184.000	0.544
185.000	0.545
186.000	0.550
187.000	0.548
188.000	0.548
189.000	0.560
190.000	0.559
191.000	0.554
192.000	0.551
193.000	0.545
194.000	0.536
195.000	0.532
196.000	0.532
197.000	0.534
198.000	0.537
199.000	0.537
200.000	0.538
201.000	0.544
202.000	0.544
203.000	0.547
204.000	0.539
205.000	0.543
206.000	0.534
207.000	0.536
208.000	0.536
209.000	0.536
210.000	0.543
211.000	0.543
212.000	0.545
213.000	0.540
214.000	0.538
215.000	0.532
216.000	0.536
217.000	0.536
218.000	0.536
219.000	0.536
220.000	0.536
221.000	0.538
222.000	0.538
223.000	0.538
224.000	0.538
225.000	0.538
226.000	0.534
227.000	0.535
228.000	0.535
229.000	0.536
230.000	0.537
231.000	0.537
232.000	0.545
233.000	0.537
234.000	0.540
235.000	0.540
236.000	0.535
237.000	0.530
238.000	0.530
239.000	0.523
240.000	0.521
241.000	0.525
242.000	0.525
243.000	0.524
244.000	0.527
245.000	0.527
246.000	0.526
247.000	0.526
248.000	0.522
249.000	0.522
250.000	0.525
