COST	MEAN
50	[25  0]	[ 0 25]
51	[25  0]	[ 0 25]
52	[25  1]	[ 0 25]
53	[26  1]	[ 0 25]
54	[27  1]	[ 0 25]
55	[28  1]	[ 0 25]
56	[28  1]	[ 0 25]
57	[29  1]	[ 0 25]
58	[29  2]	[ 0 25]
59	[29  2]	[ 0 25]
60	[30  2]	[ 0 25]
61	[31  2]	[ 0 25]
62	[31  3]	[ 0 25]
63	[31  3]	[ 0 25]
64	[31  3]	[ 0 25]
65	[31  3]	[ 0 25]
66	[32  3]	[ 0 25]
67	[33  3]	[ 0 25]
68	[33  4]	[ 0 25]
69	[34  4]	[ 0 25]
70	[35  4]	[ 0 25]
71	[36  4]	[ 0 25]
72	[36  5]	[ 0 25]
73	[36  6]	[ 0 25]
74	[36  6]	[ 0 25]
75	[36  7]	[ 0 25]
76	[36  7]	[ 1 25]
77	[36  7]	[ 1 25]
78	[36  7]	[ 1 26]
79	[36  7]	[ 2 26]
80	[36  7]	[ 3 26]
81	[36  7]	[ 3 27]
82	[36  7]	[ 3 27]
83	[36  7]	[ 3 27]
84	[36  7]	[ 3 28]
85	[36  7]	[ 4 28]
86	[36  7]	[ 4 28]
87	[36  7]	[ 4 28]
88	[36  7]	[ 5 28]
89	[36  7]	[ 5 29]
90	[36  7]	[ 6 29]
91	[36  7]	[ 7 29]
92	[36  7]	[ 8 29]
93	[36  7]	[ 8 30]
94	[36  7]	[ 8 31]
95	[36  7]	[ 8 31]
96	[36  7]	[ 8 31]
97	[36  7]	[ 9 31]
98	[36  7]	[10 31]
99	[36  7]	[10 32]
100	[36  7]	[10 33]
101	[36  7]	[10 34]
102	[36  7]	[10 35]
103	[36  8]	[10 35]
104	[37  8]	[10 35]
105	[38  8]	[10 35]
106	[38  8]	[10 36]
107	[39  8]	[10 36]
108	[39  8]	[11 36]
109	[39  9]	[11 36]
110	[40  9]	[11 36]
111	[41  9]	[11 36]
112	[41  9]	[12 36]
113	[42  9]	[12 36]
114	[42  9]	[12 36]
115	[42  9]	[12 37]
116	[43  9]	[12 37]
117	[43 10]	[12 37]
118	[43 11]	[12 37]
119	[44 11]	[12 37]
120	[45 11]	[12 37]
121	[46 11]	[12 37]
122	[46 11]	[13 37]
123	[46 11]	[13 37]
124	[46 11]	[13 37]
125	[46 11]	[13 37]
126	[46 12]	[13 37]
127	[46 12]	[13 37]
128	[46 12]	[14 37]
129	[47 12]	[14 37]
130	[47 13]	[14 37]
131	[47 13]	[15 37]
132	[47 14]	[15 37]
133	[47 14]	[16 37]
134	[47 14]	[16 37]
135	[47 14]	[16 37]
136	[47 14]	[16 37]
137	[47 14]	[17 37]
138	[48 14]	[17 37]
139	[48 14]	[17 38]
140	[48 14]	[18 38]
141	[49 14]	[18 38]
142	[50 14]	[18 38]
143	[50 14]	[18 39]
144	[50 14]	[18 39]
145	[50 14]	[18 40]
146	[50 14]	[18 40]
147	[50 14]	[18 41]
148	[51 14]	[18 41]
149	[51 14]	[18 42]
150	[51 14]	[19 42]
151	[51 14]	[20 42]
152	[51 14]	[21 42]
153	[52 14]	[21 42]
154	[52 14]	[22 42]
155	[53 14]	[22 42]
156	[53 14]	[23 42]
157	[54 14]	[23 42]
158	[54 15]	[23 42]
159	[54 15]	[24 42]
160	[54 15]	[24 42]
161	[54 15]	[24 42]
162	[55 15]	[24 42]
163	[55 16]	[24 42]
164	[55 16]	[25 42]
165	[55 16]	[25 43]
166	[55 16]	[25 43]
167	[55 16]	[25 44]
168	[55 17]	[25 44]
169	[55 18]	[25 44]
170	[55 18]	[25 44]
171	[55 19]	[25 44]
172	[55 19]	[25 44]
173	[55 20]	[25 44]
