doc_index	true_label	exp_label	annotation_time	snippet	doc_text
21335	0	2	14.7331969738	I tuned into this thing one night on a cable channel a few minutes after the credits ran, so I didn't know who had done it at first.	I tuned into this thing one night on a cable channel a few minutes after the credits ran, so I didn't know who had done it at first. The longer I saw it, the more I started thinking, "Jesus, this looks like an Albert Pyun flick." Wasn't quite sure, though, for two main reasons: the photography was quite good (and the Utah desert scenery was beautiful), and Scott Paulin gave an hilarious performance as Simon, a murderous cyborg, but with some style and a sense of humor. Paulin must have ad-libbed the many clever one-liners he shot out, because Albert Pyun hasn't written anything even remotely funny or coherent in his career. Unfortunately, Paulin doesn't have all that much screen time before he's gone, and the movie's the worse for it. Lance Henriksen, playing the evil head cyborg, growls his way through his part, as he's done in countless other movies like this. I don't know what the hell Kris Kristofferson is doing in this thing; maybe he wanted to see what the Utah desert looked like and get paid for it. He goes through the movie looking (and sounding) like he just woke up, and in fact spends most of the last half of the movie on his back in a tent. Kathy Long, the nominal hero, has a great body, is attractive, has a great body, fights extremely well, has a great body, and doesn't have an iota of acting talent, but that doesn't matter in a movie like this. This being an Albert Pyun film, it's full of the trademarks that we've all come to know and love: inane and idiotic dialog, choppy editing, and the impression that they lost a reel in the middle of the picture and figured, "Ah, nobody'll ever notice."  As bad as this movie is, however, it's a shade above most of Pyun's other efforts--this is "Citizen Kane" compared to his brain-numbing "Adrenaline: Feel the Rush", for example. The fights are pretty well done, if repetitive (after she knocks down eight or nine guys one after the other, you find yourself saying, "Alright already, go to something else"), and Long is very athletic (and, as a previous poster has noted, has a great derrière). It's not a good movie by any stretch of the imagination, but it's not anywhere near as incoherent and incompetent as Pyun's usual extravaganzas. You could do worse than rent this movie--not much worse, granted, but worse nonetheless.
3057	1	0	8.48212504387	Even longtime Shirley fans may be surprised by "Now and Forever."	Even longtime Shirley fans may be surprised by "Now and Forever." The movie was filmed with Paramount studios  not with Shirley's parent company Twentieth Century Fox  in 1934, before Fox producer Darryl Zanuck had perfected the successful Shirley formula (cute songs, cold hearts for her to melt, young couples for her to play cupid to, happy endings). Thus "Now and Forever" falls into the category of a Shirley vehicle without the standard Shirley story. It is an awkward position for any movie, but this impressive, talented cast makes it work.  Gary Cooper and Carole Lombard star as fun-loving, irresponsible con artists Jerry and Toni Day. The only thing that this devoted yet dysfunctional duo seems to hate more than being together is being apart. When they are suddenly landed with custody of Jerry's young daughter Penny (Shirley Temple), it is Toni  and not Penny, as many believe  who persuades Jerry to give up his criminal career. But Jerry flounders at his desk job, and desperate to prove that he can provide for his new family, he soon returns to thieving and dishonesty. In a standard Shirley device, Penny tries to melt the heart of crusty curmudgeon Felix Evans, the victim of one of Jerry's cons, but her attempt fails, for Evans is revealed to be a con artist himself, and he blackmails Jerry into helping him steal jewels. The drama, gunfight, death, and sorrow that follow all make this film a very unusual one for Little Miss Sunshine. There is no happy ending, no dancing, and only one song sequence (the cute number "The World Owes Me a Living").  But this does not mean that Shirley fans should avoid "Now and Forever." Rather, it's divergence from the usual Shirley story make it more interesting and memorable than many of her other films. But beware: You should avoid colorized version of this film, and see it in black-and-white if you can. The color is bright, garish, and unrealistic, and in many scenes, Shirley's famous curls are actually red instead of blonde. Yikes!
13729	0	2	5.02985286713	I'm not a huge Star Trek fan, but I was looking forward to this.	I'm not a huge Star Trek fan, but I was looking forward to this. I was intrigued by the pre-hype descriptions of the Enterprise, its cramped-submarine styling and rough-edged technology compared to the Treks we are used to.  I didn't see anything all that interesting in this pilot. I found the plot to be convoluted and confusing.  I will admit that I did like some of the character development - the depictions of the humans as an 'adolescent' species ready to outgrow their britches was entertaining.  And that Vulcan babe had one hell of an incredible rack.  But I don't think I'm going to get hooked on this series.  3/10
1408	1	1	5.48900794983	I found The FBI Story considerably entertaining and suitably upbeat for my New Years Day holiday viewing.	I found The FBI Story considerably entertaining and suitably upbeat for my New Years Day holiday viewing. Its drama and action-packed episodes were thrilling. The Hardesty character was well drawn and admirable. Overall the photography, script and direction was perfectly creditable. Rather than taking the film to be a repugnant piece of propaganda, as some might, I enjoyed it as a well mounted portrayal of the necessity of ingenious minds and brave bodies in the fight against crime. Again, the depiction of a family holding together even under the strain of the husband's commitment to his (arguably) important work, I did not find to be a twee representation but an ideal and exemplary one.
19541	1	1	19.2883460522	Awful dreams, wild premonitions, blasphemy and homosexual fantasies permeate Paul Verhoeven's (arguable) masterpiece of a true femme fatale who loves her men then kills them.	Awful dreams, wild premonitions, blasphemy and homosexual fantasies permeate Paul Verhoeven's (arguable) masterpiece of a true femme fatale who loves her men then kills them. Filled with blood and occasional gore, The Fourth Man is truly neurosis inducing. Men will literally leap when Renee swings out her scissors......
1449	0	0	7.48464202881	**SPOILERS** Redicules slasher film that makes no sense at all with a killer running around dressed in a black robe and wearing what looks like a pull-over Peter Lorre rubber mask.	**SPOILERS** Redicules slasher film that makes no sense at all with a killer running around dressed in a black robe and wearing what looks like a pull-over Peter Lorre rubber mask. Were told early in the movie, almost the very first scene, that young Beth Morgan was in rehab due to heavy drug use after her boyfriend was murdered in Tennyson Collage about a year ago.  It's also brought out that FBI Agent Sacker's (Jeff Conaway), who's obsessed in catching the killer,daughter was also murdered in Tennyson around the same time. By the time the movie "Do You Wanna Know A Secret" is over it's never explained just what those two killings back in Connecticute has to do with the slaughter in Florida of some half dozen collage students a year later? other that the killer, at least in the murder of Beth's boyfriend, wore the same silly Halloween outfit.   At spring break in the Sunshine State the six students spend their vacation at a beach house and before you know it they start getting knocked off one at a time. Starting with computer geek Brad Clyton, Chad Allen, the killing even spill over into town with a number of people who have nothing to do with the targeted student including the police chief Gavin, Jack McGee, getting sliced open.   The masked killer saves Beth for last in this weird ceremony at a deserted church, in what looks like the Florida Everglades. He then finally reveals who his is and what he intentions are which make as much sense as the movie does, none. Trying to scare it's audience all the movie does is confuse and bewilder it with a number of not-too convincing slasher scenes. The most effective ones having the victim Oz Washington, Tom Jay Jones, survive at least three attempts on his life and ending up, together with Agent Sacker, the hero in the film.   Oz also had a vicious cut on is foot from a large splinter of glass that almost cut it in half and crippled him but later he miraculously recovered, after getting arrested for a murder he didn't commit, in fact he had it out two more time with the killer with him not as much as having a slight limp in his walk! It also made no sense at all why Oz and Beth went on their own to tack down and catch the killer instead of calling the police, with a cellphone that Oz had, instead?   Beth's boyfriend, who loses his head over her, in the movie Hank Ford, Joseph Lawrence, is also very unconvincing as well as the two girls at the beach house.They together with with Beth Oz end up being the killers victims and then somehow disappearing from sight! for a moment you didn't know if they were really killed at all or if it was some kind of hallucination on Oz's or the local police part. Until the off-the-wall final scene where they popped up in the church.  We also get an insight on a previous relationship between Tina and Hank with her, drunk and acting obnoxious, trying to get it on with Hank as Beth walks in without Hank and Tina even noticing her. That seemed to have upset Beth even more then her boyfriend being murdered at the beginning of the movie!
13982	0	0	12.245265007	It's like this ... you put in the DVD and the most professional-looking thing you see over the next ninety minutes is the logo of the distribution company.	It's like this ... you put in the DVD and the most professional-looking thing you see over the next ninety minutes is the logo of the distribution company. And at this point, you know you've just been jerked around.  People are generally trusting enough to assume that if something has been put on DVD, it's going to be of a certain level -- at least financially if not creatively. But sadly this isn't the case. Distribution companies are perfectly happy to throw together DVDs of amateur movies and ship them right out into the stores to await the unsuspecting buyer who is drawn in by the well-designed DVD cover. The weight behind this particular project is most likely independent horror movie pioneer Kevin J Lindenmuth, whose name may be known amongst genre fans since he's responsible for various other low-budget werewolf movies -- "Rage of the Werewolf", "Werewolf Tales" and so on.  "Blood of the Werewolf" is made up of three short independent werewolf stories with no real connection other than the fact that they deal with hereditary shapeshifters. The first segment, "Blood Reunion", pretty much sets the tone for the whole thing ... a man returns to his home town to look up a girl who had a crush on, only to find that her domineering grandmother refuses to let her have relationships with men, and for reasons which are somehow related to a dark family secret. This instalment is poorly directed, poorly directed, and basically nothing superior to what you could throw together yourself with a few friends and a home video camera.  The second story, "Old Blood", is probably the strongest out of the three and is directed by Lindenmuth himself. It tells the story of a lesbian couple, one of whom is a shapeshifter and the other wishes to be given this power. Her wish is granted, but she doesn't become the creature that she envisioned. This short movie shows that Lindemuth has more talent and experience than the other filmmakers who worked on this project, but still not enough to raise it above the level of an amateur movie.  And finally we have "Manbeast", in which some army guy runs through the woods while being chased by two other fellas. They wish to kill him as he has been bitten by the beast and is believed to be dangerous, but all might not be as it seems. This one has an interesting concept, but it's stretched out to be far too long, and if you don't guess what the "twist" is in the first ten minutes then you probably ain't too bright. This pretty much sums up the problem with this whole DVD ... a few good ideas just aren't enough to justify spending money on something like this. After all, would you pay for a picture you could have painted yourself?
20652	1	2	7.22000908852	what a relief to find out I am not imagining this programme!	what a relief to find out I am not imagining this programme! the summary from taxman is great. I too remember finding it haunting and not particularly family viewing, I must have been 10/11 at the time I watched it. I think for a girl that age part of attraction was lead's very blond hair, and his permanently sad state. The theme was played on a flute I recall - although I cannot remember how it went. I think the intro showed him playing it - or maybe he played a flute in the programme and especially when he was sad? Maybe I am destined never to know how it ended or to see clip or hear the tune, but at least I now know it is not just me.
23176	0	0	3.95928215981	I wouldn't recommend this unless you're keen on David Copperfield and want to "complete the set".	I wouldn't recommend this unless you're keen on David Copperfield and want to "complete the set". There are some good performances (e.g. Uriah Heep) and well directed moments (e.g. the beating), but on the whole it really pales in comparison with the 1999 BBC version, as well as earlier versions.   There are inexplicable changes to the story that really serve no great purpose except, possibly, to dumb it down (the stolen jewels being a case in point). The American cast were poorly chosen: Sally Field is a good actress, but she is wrong as Betsy Trotwood, and her English accent is only slightly better than Dick Van Dyke's cockney. I can see why Michael Richards was chosen to play Mr Micawber; he hams it up rather too much, however, and becomes irritating. He also speaks his lines in an accent that goes beyond eccentric and becomes simply preposterous. Anthony Andrews is menacing as Mr Murdstone, but one almost expects him to don a black cape and tie David's mother to a railway line (though this is perhaps partly the fault of Dickens).   I got this for free with a newspaper. It helped pass a Sunday afternoon, but I felt more disappointed than charmed at the end of it
14849	0	0	7.44743895531	I was about 7 when this DIRE MONSTROSITY of a film was released.	I was about 7 when this DIRE MONSTROSITY of a film was released. In the UK it was advertised on the TV in the summer of 1977 for weeks, as if it were some incredible blockbuster film. It was actually the first film I ever saw at a cinema, and I was put off going for years to come. The following week I was invited to go and see the new film "Star Wars" and I declined. To this day I have never seen it, in protest at having to watch Sasquatch! Seriously, even at the age of 7 I could tell that I was watching garbage. It's just so bad, it's almost unbelievable. Rambling nonsense that should NEVER have made it to a cinema. I was however amused to read all these years later that the director never directed again, just as well as far as I'm concerned. AVOID AT ALL COSTS!!!
