doc_index	true_label	exp_label	doc_text
18364	0	0	"Masters of Horror" has proved itself a poor arena for 'message episodes,' and while a definite case can be made for Joe Dante's 'Screwfly Solution' (one of the best episodes of the series, period), most efforts to do so have come across as anvil-heavy and unimpressive (nothing defuses horror more than a soapbox). And 'Pro-Life' simply fuses reactionary viewpoints with ultra-violence; young Angelique (Caitlin Wachs), seen running through the woods, is nearly hit by 2 doctors (Mark Feuerstein and Emmanuelle Vaugier) who just happen to be driving in to work at the local (and isolated) abortion clinic. Angelique's father, Dwayne (Ron Perlman), is a stone-cold, far-right holy roller who will do anything to prevent his daughter from getting an abortion. If for nothing else, 'Pro-Life' accumulated some buzz for its controversial issue, but John Carpenter treats this whole venture with startling indifference--he seems even less interested in making a movie than the script itself (which is admittedly poor); the slow pacing builds no tension, and simply brings the already ambling plot to a crawl. Even when Dwayne and his sons storm the clinic, guns blazing, it is a stunning non-event; later, when a doctor is tortured with a 'male abortion,' the scene comes off as gratuitous and unnecessary--an effort to pad out the underwritten film. The poor performances (Perlman is sadly wasted here) become an outgrowth of the script, and Carpenter's direction feels exhausted, as if 'Pro-Life' is the source of his next hot meal. By the time a spider-creature with a human head and a guy in a latex monster suit are prowling the hallways, you just have to wonder what the minds behind this mess were thinking...
24196	0	0	A female vampire kills young women and paints with their blood. She has an assistant who doesn't want to be a vampire, so he has to do what she orders or be turned into a blood sucker. After a few kills, the assistant gets remorse and falls in love with a homeless girl.  What can I say about this movie ? That its pacing is over-slow, that it has some strange sound effects (never a bite sounded so strange) and ambiance (new jazz here I come) and that lights don't seem to be included on the set. It looks like an "auteur" horror movie with all the self-sufficiency inside.  The plot is completely stupid and as you can guess, it's the female vampire who explains how to kill her even if she doesn't have to do it; of course, crosses, light, garlic and sticks don't work.  It's not even a funny lousy movie. Perhaps with some friends and a lot of beers, it can't have its funny sides (to be honest, it's funny during 10 - 15 minutes near the end of the movie). Don't be fooled by the Troma sticker, it's one the bad movie they present.
24825	0	0	Perhaps it's because I am so in love with the William Holden - Kim Novak version, or because I'm not a Gen-X'er, but this was absolutely the worst remake I have ever seen. Without the original's soundtrack, it just seemed like another typical TV movie...yes, about as bland as Kraft cheese.
2157	0	0	This is a baffling film.   The beauty in sexual relations between men and women is shown degraded by a set of men and women who can only be described as a collection of oddballs and misfits.  Greenaway acknowledges his inspiration to Fellini's film "8 1/2" but whereas Fellini is a titan of world cinema, Greenaway is not.  He has none of the maestro's lightness of touch nor his ability to convey feelings and emotions with a deftness of clarity.  He is pretentious, the film being divided into chapters with a written introduction to each, as if the viewer has to be guided into the film except that the written notices only stay on screen for a few seconds, not long enough to be read by the audience with the result that they are mostly ignored.  As for the women, only two can be described as lookers, Palmira, played by Polly Walker and Giaconda played by Natacha Amal. The rest ooze with ordinariness. Both the women and the men retreat from the harsh light of reality into the dim shades of fantasy.  Greenaway obviously wants to make the point that sexual fantasy does not lead to happiness. The women themselves are depressing since they render their services in exchange for money. Relations between men and women are debased into a commercial transaction.  There is no sense of joy or happiness or love in the film, indeed there are several scenes that are deeply unpleasant :  The suggestion of an incestuous relationship between father and son, Philip and Storey Emmental played respectively by John Standing and Matthew Delamere. The callous disregard of both men that Giaconda is carrying their child, she in fact, gets pregnant twice, the first foetus being aborted and the second time, she is sent away to a destination chosen by the men from a flight book. Both men having sex with a woman who has no legs, (the half woman in the title). The beastiality that exists between Beryl, played by Amanda Plummer, with a pig named Hortense. Father and son sharing women between them. Women enjoying being beaten sexually. The father sleeping with the corpse of his dead wife.  Mercifully, none of these scenes are shown sexually, only hinted at.  The hinted degradation of women is such that there cannot be any wonder that the film was booed at when it was first premiered at Cannes. What is more extraordinary is that the actresses in the film lined up to defend it, showing yet again that there is no limit to the naivety of women and that women will fool themselves into being exploited by men.  Greenaway's directorial style is pretentious, it is a triumph of style over substance, a depiction of Film as Art accompanied by the abandonment of common sense.  Greenaway tries to attain the sublimity of surrealism but only succeeds in showing the banality of human relationships.
20286	0	0	*****THIS REVIEW MAY HAVE SPOILERS - but that determination would be negligible in such a classic and well-known story*****  The CINDERELLA story ranks as my favorite fairy tale. The world will never have enough of this wonderful tale.  The problem is that everyone wants to tell their own version of the tale. This cannot work if the story deviates or attempts to throw some interesting ideas together with some magical photography and scrumptious looking production designs with poor direction and editing.  This Cinderella story is more like an Ugly Duckling that never hatches or rather, is never transformed into a swan.  All the production value that money can buy, cannot purchase good cinematic timing and dramatic development - or good acting.  The entrance of Cinderella at the ball as so poorly done, there was no drama of anticipation nor excitement of discovery.  The writing made me very nervous, too. The Prince Charming was the most undesirable of memory. Why would any girl want to marry a boorish, self-absorbed prince who disliked women?   Turner's turn on the Stepmother role was an embarrassingly painful showing that demonstrated one-liners more than acting nuance.  Even the Cinderella part held little interest or sympathy.  Perhaps only one sentence will describe this attempt: So cheaply '90's,  What MUST be mentioned and mentioned in shameful excess is the glorious photography, matte work and production design. It was a pleasure to peruse the landscapes, sets and settings as the story unfolded.  For some Cinderella storytelling, go for two gems:  1) Rodgers and Hammerstein's Cinderella Musical with Lesley Ann Warren. Even with the obvious stagey TV - 60's look to the sets, this is the best version on celluloid - bar none. An all star cast makes every effort to provide the highest entertainment. Engaging, diverting and memorable writing and music. This is the classic.  2) Ever After- this Drew Barrymore gem maintains the historical perspective, alters the story line but not enough to derail the effective development of the salient points of this classic tale. The characters of the principals and of all of the supporting roles were written smartly and acted well.
15144	0	0	There is a DVD published in the UK in 2002 Code HRGD002 on the cover, no ASIN, VFC 19796 on the disk, no IFPI code in the inner rim.  Probably a straight transfer from VHS.   There is no much point is commenting an adult film. But this one contains a minimal plot, and the characters are believable. It was shown in the United States in normal cinemas.  I've seen it In Pensylvannia way back in 1975.  As such it deserves a place in an Encyclopedia of Movies. The DVD has no special features and no subtitles, and was probably made using a VHS tape as source
277	0	0	That's right! Under 9 on average, but maybe under 12s for some others! I was 11 when I originally saw this on video and at such youth I wasn't able to notice the shoddy cartoon-quality or the fact that those classic characters we have all grown to love are Not the same or as good to see. Just about everything is so 2D here! Belle is, I'll agree, not even beautiful but just a plain-looking woman with tinted skin, she wears the same bright blue dress all the way through with not one glamorous dress on, Wardrobe is to say the Least, annoying - my ears may bleed if I had to listen to her everyday! Lumiere, in both the original and the Christmas edition was suave and elegant, but here he is a womanizing, unfunny twit! Cogsworth, despite being the no-nonsense housekeeper he is famous for, is a complete sh-t and the most insufferable character I'd say! He always seems to find shutting that unbearably grating pie-hole of his very difficult in this one and whose clock face should really have been used for turning back in time to the unforgettable two film in this series! Poor, poor Mrs Potts was not brought to life by Angela Lansbury (one of my favourite classic actresses) but by Anne Rogers who captured none of Mrs Potts' character, no offence to her! Not if she did her best! When the beast roars it sounds so horrifically fake with clearly no additional roars, snarls or growls by a microphone. I am aware that this is only a third feature following two other films so of course it wouldn't be as good but I'm sure that more of a contribution wouldn't have hurt the Disney artists who, indeed, have achieved such remarkable styles of animation over the years. It's alright, I guess, and I do watch it sometimes though only when it suits me. It's quite difficult to make a recommendation for you reading this because it depends on how old you are but remember this will not at all be what you may expect following the earlier spectacular movies! And to think that on my video of it the text on the back cover said "boasting brilliant animation"! It's a nice little flick but for one thing it's also highly poor and, for another, those 3 words ought to have been saved for the next re-release of the original!
11404	0	0	I actually retired from Asian horror films some time ago after becoming completely sick of seeing samey ghost story rubbish. However, I've been getting more and more into exploitation flicks recently, and so decided to give them another chance. My first port of call was highly rated director Takashi Miike's highly rated 'Visitor Q'. I'd already seen Audition, and while I didn't like it much, I do rate it as one of the better modern Asian horror films. So, I went into this with sensible expectations; and unfortunately, found only boredom. I suppose this movie is actually really clever and it just went over my head, but what it seemed like to me was simply a collection of violent and nasty scenes with little or no coherency between them. Any comparisons to the work of Luis Bunuel and David Lynch is blasphemous as far as I'm concerned; all Miike has done here is make a film; any intelligence surrounding it has been implemented by pretentious fans, desperate to find some kind of meaning. My headache set in about 10 minutes in (after a father had sex with his daughter for some reason), and it didn't subside until the movie finally ended; at least twenty four hours later, or so it would seem. Don't get me wrong, I'm not against violence in movies and in fact actively seek out the most notorious films around; but while this may be violent, it's also pointless and boring and I didn't get one ounce of enjoyment out of it. Takashi Miike may have a lot of fans, but I'm certainly not one of them; and I certainly hope this is the last time I'll come into contact with one of his films.
13741	0	0	I gave this loooooooooooong film a "2" because of the attractive actors and semi-sexy love scenes. Otherwise, if you can't read like a speed-reader you will NEVER get through the subtitles that try to keep up with the Spanish speed talking! And, what the hell is going on in the plot if you can't read the subtitles. Endless stares and goof-eyes and constant rejection. Just boring after an hour or so. Some good cinematography but also some so DARK you think your screen has burned out. How this won anything I will never understand. Difficult to talk about "ACTING" since the lead actors seem to just stare and look lovingly at each other when they are not pushing each other away. The character Geraldo is so attractive that it is difficult to believe that ANYONE would push him away. And what is with his mother? I just plain didn't GET IT most of the time except that there were three guys that all seem to have had a history with each other....but never figured out who was whose "EX."
6851	0	0	I really must have caught a different film from the rest of the commentators on this site because at a screening of the film last night the audience was so mortified by the dialoge that (I'm not even kidding)half walked out. Shot as if the filmmaker thought he were approaching some daring new territory by presenting a homosexual coming-of-age story, the film utilizes David Lynch inspired visuals with Fassbinder inspired acting. The performances in this film are so dull and bored that I figured one of the actors was going to pass out by how uninspired they seemed to be by the script. What's worse is that it's colored like an episode of Miami Vice. I don't know who this director thinks he is; maybe he has pretensions of the surreal like Bunuel, Jordowsky, etc. But the problem is that all of the afore mentioned directors display a level of erudite sensibility that is sorely lacking here. I could understand the meaningfulness of this film about ten years ago, but when we've got masterpieces such as Bad Eduction, Mysterious Skin and Show Me Love why bother with this cinematic turd? There is nothing new to be seen here.
