COST	MEAN
50.000	0.628
51.000	0.633
52.000	0.627
53.000	0.608
54.000	0.623
55.000	0.617
56.000	0.597
57.000	0.593
58.000	0.593
59.000	0.593
60.000	0.604
61.000	0.593
62.000	0.593
63.000	0.593
64.000	0.586
65.000	0.590
66.000	0.591
67.000	0.583
68.000	0.584
69.000	0.584
70.000	0.589
71.000	0.595
72.000	0.595
73.000	0.595
74.000	0.592
75.000	0.610
76.000	0.611
77.000	0.615
78.000	0.617
79.000	0.608
80.000	0.626
81.000	0.627
82.000	0.619
83.000	0.627
84.000	0.627
85.000	0.625
86.000	0.624
87.000	0.620
88.000	0.620
89.000	0.622
90.000	0.629
91.000	0.624
92.000	0.624
93.000	0.627
94.000	0.627
95.000	0.627
96.000	0.627
97.000	0.627
98.000	0.627
99.000	0.625
100.000	0.625
101.000	0.630
102.000	0.637
103.000	0.636
104.000	0.636
105.000	0.637
106.000	0.656
107.000	0.654
108.000	0.654
109.000	0.645
110.000	0.645
111.000	0.645
112.000	0.649
113.000	0.643
114.000	0.643
115.000	0.643
116.000	0.636
117.000	0.641
118.000	0.629
119.000	0.636
120.000	0.630
121.000	0.630
122.000	0.627
123.000	0.626
124.000	0.626
125.000	0.627
126.000	0.624
127.000	0.624
128.000	0.625
129.000	0.622
130.000	0.623
131.000	0.622
132.000	0.622
133.000	0.625
134.000	0.619
135.000	0.620
136.000	0.619
137.000	0.619
138.000	0.624
139.000	0.621
140.000	0.620
141.000	0.621
142.000	0.623
143.000	0.627
144.000	0.625
145.000	0.625
146.000	0.625
147.000	0.624
148.000	0.623
149.000	0.624
150.000	0.619
151.000	0.622
152.000	0.630
153.000	0.637
154.000	0.634
155.000	0.634
156.000	0.634
157.000	0.634
158.000	0.627
159.000	0.626
160.000	0.627
161.000	0.631
162.000	0.630
163.000	0.628
164.000	0.627
165.000	0.626
166.000	0.625
167.000	0.626
168.000	0.631
169.000	0.634
170.000	0.634
171.000	0.634
172.000	0.634
173.000	0.633
174.000	0.633
175.000	0.633
176.000	0.633
177.000	0.633
178.000	0.633
179.000	0.633
180.000	0.633
181.000	0.631
182.000	0.624
183.000	0.625
184.000	0.626
185.000	0.629
186.000	0.626
187.000	0.630
188.000	0.633
189.000	0.633
190.000	0.633
191.000	0.636
192.000	0.637
193.000	0.637
194.000	0.636
195.000	0.636
196.000	0.635
197.000	0.643
198.000	0.643
199.000	0.643
200.000	0.643
201.000	0.640
202.000	0.640
203.000	0.640
204.000	0.639
205.000	0.639
206.000	0.635
207.000	0.639
208.000	0.639
209.000	0.639
210.000	0.638
211.000	0.641
212.000	0.643
213.000	0.643
214.000	0.646
215.000	0.644
216.000	0.643
217.000	0.644
218.000	0.651
219.000	0.651
220.000	0.651
221.000	0.650
222.000	0.651
223.000	0.649
224.000	0.648
225.000	0.648
226.000	0.646
227.000	0.647
228.000	0.647
229.000	0.646
230.000	0.646
231.000	0.645
232.000	0.645
233.000	0.649
234.000	0.649
235.000	0.648
236.000	0.649
237.000	0.648
238.000	0.648
239.000	0.648
240.000	0.648
241.000	0.648
242.000	0.648
243.000	0.649
244.000	0.648
245.000	0.647
246.000	0.647
247.000	0.647
248.000	0.648
249.000	0.654
250.000	0.654
