COST	MEAN
50.000	0.676
51.000	0.683
52.000	0.676
53.000	0.650
54.000	0.671
55.000	0.663
56.000	0.638
57.000	0.630
58.000	0.630
59.000	0.630
60.000	0.642
61.000	0.629
62.000	0.629
63.000	0.629
64.000	0.621
65.000	0.627
66.000	0.629
67.000	0.619
68.000	0.619
69.000	0.619
70.000	0.625
71.000	0.630
72.000	0.630
73.000	0.630
74.000	0.629
75.000	0.653
76.000	0.657
77.000	0.660
78.000	0.663
79.000	0.655
80.000	0.679
81.000	0.678
82.000	0.671
83.000	0.681
84.000	0.681
85.000	0.680
86.000	0.678
87.000	0.672
88.000	0.671
89.000	0.674
90.000	0.684
91.000	0.679
92.000	0.679
93.000	0.684
94.000	0.684
95.000	0.684
96.000	0.684
97.000	0.683
98.000	0.685
99.000	0.682
100.000	0.682
101.000	0.691
102.000	0.699
103.000	0.699
104.000	0.699
105.000	0.699
106.000	0.718
107.000	0.715
108.000	0.715
109.000	0.706
110.000	0.706
111.000	0.706
112.000	0.713
113.000	0.711
114.000	0.711
115.000	0.711
116.000	0.703
117.000	0.706
118.000	0.695
119.000	0.699
120.000	0.690
121.000	0.691
122.000	0.687
123.000	0.688
124.000	0.688
125.000	0.689
126.000	0.692
127.000	0.693
128.000	0.695
129.000	0.697
130.000	0.697
131.000	0.697
132.000	0.697
133.000	0.696
134.000	0.690
135.000	0.690
136.000	0.685
137.000	0.685
138.000	0.696
139.000	0.688
140.000	0.688
141.000	0.689
142.000	0.695
143.000	0.696
144.000	0.695
145.000	0.693
146.000	0.694
147.000	0.692
148.000	0.692
149.000	0.692
150.000	0.687
151.000	0.692
152.000	0.699
153.000	0.714
154.000	0.710
155.000	0.707
156.000	0.707
157.000	0.707
158.000	0.704
159.000	0.703
160.000	0.704
161.000	0.710
162.000	0.712
163.000	0.711
164.000	0.710
165.000	0.710
166.000	0.708
167.000	0.710
168.000	0.716
169.000	0.720
170.000	0.721
171.000	0.720
172.000	0.721
173.000	0.720
174.000	0.717
175.000	0.716
176.000	0.715
177.000	0.716
178.000	0.716
179.000	0.716
180.000	0.716
181.000	0.713
182.000	0.696
183.000	0.696
184.000	0.699
185.000	0.703
186.000	0.698
187.000	0.699
188.000	0.701
189.000	0.701
190.000	0.701
191.000	0.707
192.000	0.708
193.000	0.708
194.000	0.707
195.000	0.708
196.000	0.705
197.000	0.719
198.000	0.719
199.000	0.719
200.000	0.719
201.000	0.715
202.000	0.718
203.000	0.718
204.000	0.715
205.000	0.715
206.000	0.712
207.000	0.714
208.000	0.715
209.000	0.715
210.000	0.714
211.000	0.720
212.000	0.723
213.000	0.722
214.000	0.725
215.000	0.720
216.000	0.720
217.000	0.720
218.000	0.724
219.000	0.724
220.000	0.724
221.000	0.723
222.000	0.726
223.000	0.725
224.000	0.722
225.000	0.722
226.000	0.717
227.000	0.722
228.000	0.721
229.000	0.720
230.000	0.720
231.000	0.719
232.000	0.718
233.000	0.721
234.000	0.721
235.000	0.720
236.000	0.720
237.000	0.720
238.000	0.721
239.000	0.722
240.000	0.722
241.000	0.724
242.000	0.723
243.000	0.723
244.000	0.723
245.000	0.721
246.000	0.722
247.000	0.722
248.000	0.723
249.000	0.730
250.000	0.730
