COST	MEAN
50	[25  0]	[ 0 25]
51	[25  0]	[ 0 26]
52	[25  0]	[ 1 26]
53	[25  0]	[ 1 27]
54	[25  0]	[ 1 28]
55	[25  0]	[ 1 29]
56	[25  0]	[ 1 30]
57	[25  1]	[ 1 30]
58	[25  1]	[ 2 30]
59	[25  1]	[ 2 30]
60	[26  1]	[ 2 30]
61	[27  1]	[ 2 30]
62	[27  1]	[ 2 30]
63	[27  1]	[ 2 30]
64	[27  1]	[ 2 31]
65	[28  1]	[ 2 31]
66	[29  1]	[ 2 31]
67	[30  1]	[ 2 31]
68	[30  1]	[ 2 32]
69	[30  1]	[ 2 32]
70	[31  1]	[ 2 32]
71	[31  1]	[ 2 33]
72	[31  1]	[ 2 33]
73	[31  1]	[ 2 33]
74	[32  1]	[ 2 33]
75	[33  1]	[ 2 33]
76	[33  1]	[ 3 33]
77	[34  1]	[ 3 33]
78	[35  1]	[ 3 33]
79	[36  1]	[ 3 33]
80	[37  1]	[ 3 33]
81	[38  1]	[ 3 33]
82	[39  1]	[ 3 33]
83	[40  1]	[ 3 33]
84	[40  1]	[ 3 33]
85	[41  1]	[ 3 33]
86	[42  1]	[ 3 33]
87	[42  1]	[ 3 34]
88	[42  1]	[ 3 34]
89	[43  1]	[ 3 34]
90	[43  1]	[ 3 35]
91	[43  1]	[ 4 35]
92	[43  1]	[ 4 35]
93	[43  1]	[ 4 36]
94	[43  1]	[ 4 36]
95	[43  1]	[ 4 36]
96	[43  1]	[ 4 36]
97	[43  1]	[ 4 36]
98	[44  1]	[ 4 36]
99	[44  2]	[ 4 36]
100	[44  2]	[ 4 36]
101	[45  2]	[ 4 36]
102	[45  2]	[ 5 36]
103	[46  2]	[ 5 36]
104	[46  2]	[ 5 36]
105	[46  3]	[ 5 36]
106	[46  3]	[ 5 37]
107	[47  3]	[ 5 37]
108	[47  3]	[ 5 37]
109	[47  3]	[ 5 38]
110	[47  3]	[ 5 38]
111	[47  3]	[ 5 38]
112	[48  3]	[ 5 38]
113	[49  3]	[ 5 38]
114	[50  3]	[ 5 38]
115	[51  3]	[ 5 38]
116	[52  3]	[ 5 38]
117	[52  3]	[ 5 39]
118	[53  3]	[ 5 39]
119	[53  3]	[ 5 40]
120	[53  3]	[ 6 40]
121	[53  3]	[ 6 40]
122	[54  3]	[ 6 40]
123	[55  3]	[ 6 40]
124	[55  3]	[ 6 40]
125	[55  3]	[ 7 40]
126	[55  3]	[ 8 40]
127	[56  3]	[ 8 40]
128	[57  3]	[ 8 40]
129	[57  3]	[ 8 41]
130	[57  3]	[ 8 41]
131	[57  3]	[ 8 41]
132	[57  3]	[ 8 41]
133	[57  3]	[ 8 42]
134	[58  3]	[ 8 42]
135	[58  3]	[ 8 42]
136	[58  3]	[ 8 43]
137	[58  3]	[ 8 44]
138	[58  3]	[ 9 44]
139	[58  3]	[ 9 45]
140	[58  3]	[ 9 45]
141	[58  3]	[10 45]
142	[59  3]	[10 45]
143	[59  3]	[10 46]
144	[59  3]	[10 47]
